,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id
877,artifact,4605.0,635.0,530nm,11,20240618_061824_maize_4191_2_DA,3,4.605,rice,4191_2_DA.json,0
878,artifact,4610.0,640.0,530nm,11,20240618_061824_maize_4191_2_DA,3,4.61,rice,4191_2_DA.json,0
879,artifact,4615.0,645.0,530nm,11,20240618_061824_maize_4191_2_DA,3,4.615,rice,4191_2_DA.json,0
880,artifact,4620.0,650.0,530nm,12,20240618_061824_maize_4191_2_DA,3,4.62,rice,4191_2_DA.json,0
881,artifact,4625.0,655.0,530nm,10,20240618_061824_maize_4191_2_DA,3,4.625,rice,4191_2_DA.json,0
882,artifact,4630.0,660.0,530nm,15,20240618_061824_maize_4191_2_DA,3,4.63,rice,4191_2_DA.json,0
883,artifact,4635.0,665.0,530nm,10,20240618_061824_maize_4191_2_DA,3,4.635,rice,4191_2_DA.json,0
884,artifact,4640.0,670.0,530nm,14,20240618_061824_maize_4191_2_DA,3,4.64,rice,4191_2_DA.json,0
885,artifact,4645.0,675.0,530nm,10,20240618_061824_maize_4191_2_DA,3,4.645,rice,4191_2_DA.json,0
886,artifact,4650.0,680.0,530nm,11,20240618_061824_maize_4191_2_DA,3,4.65,rice,4191_2_DA.json,0
887,artifact,4655.0,685.0,530nm,13,20240618_061824_maize_4191_2_DA,3,4.655,rice,4191_2_DA.json,0
888,artifact,4660.0,690.0,530nm,13,20240618_061824_maize_4191_2_DA,3,4.66,rice,4191_2_DA.json,0
889,artifact,4665.0,695.0,530nm,15,20240618_061824_maize_4191_2_DA,3,4.665,rice,4191_2_DA.json,0
890,artifact,4670.0,700.0,530nm,12,20240618_061824_maize_4191_2_DA,3,4.67,rice,4191_2_DA.json,0
891,artifact,4675.0,705.0,530nm,11,20240618_061824_maize_4191_2_DA,3,4.675,rice,4191_2_DA.json,0
892,artifact,4680.0,710.0,530nm,11,20240618_061824_maize_4191_2_DA,3,4.68,rice,4191_2_DA.json,0
893,artifact,4685.0,715.0,530nm,14,20240618_061824_maize_4191_2_DA,3,4.685,rice,4191_2_DA.json,0
